ITERATION,POPULATION,BETA,ALFA,Path,Cost
10.0,10.0,0.9,0.8,"['7', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '38', '49', '10', '15', '44', '37', '17', '14', '48', '23', '24', '25', '13', '18', '47', '12', '5', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",605.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",610.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",610.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '9', '34', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",605.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '42', '41', '40', '19', '4', '6']",604.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",610.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '42', '41', '40', '19', '4', '6']",604.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",610.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '35', '36', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '9', '34', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",601.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '6', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '14']",604.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",610.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '34', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '50', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",608.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '34', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '50', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",608.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",610.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '6', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '14']",604.0
