ITERATION,POPULATION,BETA,ALFA,Path,Cost
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",644.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '19', '42', '6']",641.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '42', '40', '41', '19', '6']",643.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",644.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",644.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",644.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '19', '41', '40', '42', '4', '6']",617.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '51', '46', '32', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",642.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",644.0
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",637.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '34', '21', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",634.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '29', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '34', '9', '30', '39', '33', '45', '4', '42', '40', '41', '19', '6']",630.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '9', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '21', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",641.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '6', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '14']",635.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",644.0
