ITERATION,POPULATION,BETA,ALFA,Path,Cost
10.0,10.0,0.9,0.8,"['23', '43', '26', '16', '50', '34', '21', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '7', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",645.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '42', '40', '41', '19', '6']",662.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '29', '2', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '21', '34', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",655.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '6', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '14']",654.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",663.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '2', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '34', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",657.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '32', '1', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '42', '40', '41', '19', '6']",661.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '27', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '38', '11', '32', '46', '51', '1', '22', '2', '29', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",644.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '34', '21', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",652.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",663.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",663.0
10.0,10.0,0.9,0.8,"['23', '7', '26', '16', '50', '21', '34', '20', '36', '35', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '43', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",644.0
10.0,10.0,0.9,0.8,"['23', '26', '7', '16', '50', '34', '21', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '43', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",650.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '2', '50', '21', '34', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '16', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",657.0
10.0,10.0,0.9,0.8,"['23', '43', '7', '16', '50', '21', '34', '35', '36', '20', '3', '28', '31', '8', '38', '5', '49', '10', '15', '44', '37', '17', '14', '48', '26', '24', '25', '13', '18', '47', '12', '11', '1', '32', '46', '51', '27', '22', '29', '2', '9', '30', '39', '33', '45', '4', '41', '40', '42', '19', '6']",663.0
