ITERATION,POPULATION,BETA,ALFA,Path,Cost
10.0,10.0,0.9,0.8,"['18', '84', '28', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '1', '63', '10', '90', '49', '6', '47', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '92', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39587.0
10.0,10.0,0.9,0.8,"['18', '84', '47', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '92', '63', '10', '90', '49', '6', '28', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '1', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39698.0
10.0,10.0,0.9,0.8,"['18', '84', '47', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '92', '63', '10', '90', '49', '6', '28', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '1', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39698.0
10.0,10.0,0.9,0.8,"['18', '84', '47', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '1', '63', '10', '90', '49', '6', '28', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '92', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39607.0
10.0,10.0,0.9,0.8,"['18', '84', '47', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '92', '63', '10', '90', '49', '6', '28', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '1', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39698.0
10.0,10.0,0.9,0.8,"['18', '84', '47', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '92', '63', '10', '90', '49', '6', '28', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '1', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39698.0
10.0,10.0,0.9,0.8,"['18', '84', '47', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '92', '63', '10', '90', '49', '6', '28', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '1', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39698.0
10.0,10.0,0.9,0.8,"['18', '84', '47', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '92', '63', '10', '90', '49', '6', '28', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '1', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39698.0
10.0,10.0,0.9,0.8,"['18', '84', '47', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '92', '63', '10', '90', '49', '6', '28', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '1', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39698.0
10.0,10.0,0.9,0.8,"['18', '84', '47', '82', '95', '13', '76', '33', '37', '5', '52', '78', '96', '30', '29', '34', '12', '23', '98', '91', '32', '11', '15', '17', '59', '74', '21', '72', '79', '88', '70', '66', '26', '65', '4', '19', '24', '38', '99', '36', '45', '60', '62', '87', '81', '69', '64', '40', '54', '92', '63', '10', '90', '49', '6', '28', '9', '7', '55', '83', '46', '43', '27', '35', '86', '20', '77', '1', '75', '97', '56', '2', '44', '50', '73', '25', '61', '58', '93', '8', '42', '80', '31', '89', '67', '51', '68', '85', '39', '48', '100', '41', '71', '14', '3', '57', '53', '16', '22', '94']",39698.0
